,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,ChgOffPrinGr,GrAppv,SBA_Appv,ChgOffHist,MIS_Status
790459,8406123007,CANDANCE GEARY,FAR HILLS,NJ,7931,"TD BANK, NATIONAL ASSOCIATION",DE,448130,8-Jun-95,1995,70,5,2.0,0,0,1,0,N,Y,19-Nov-12,5-Jul-95,"$100,000.00 ",$0.00 ,"$37,452.00 ","$100,000.00 ","$90,000.00 ",False,CHGOFF
639425,6369454009,CRENSHAW SAWMILL & LOGGING INC,PERRY,KS,66073,BANK OF WESTON,MO,113310,2-Jun-03,2003,27,26,1.0,0,0,1,2,N,N,19-Oct-06,30-Jun-03,"$694,906.00 ",$0.00 ,"$689,686.00 ","$750,000.00 ","$675,000.00 ",False,CHGOFF
791583,8423244006,"MOUNTAIN COUNTRY LOG BUILDERS,",THEODOSIA,MO,65761,LIBERTY BANK,MO,321992,7-Jan-05,2005,115,6,1.0,0,0,1,2,N,N,9-Aug-07,30-Nov-05,"$224,000.00 ",$0.00 ,"$182,134.00 ","$224,000.00 ","$168,000.00 ",False,CHGOFF
59448,1450293007,"GUIDA CLOTHING COMPANY, INC.",MILFORD,DE,19963,WELLS FARGO BANK NATL ASSOC,PA,0,9-Nov-82,1983,24,185,1.0,0,0,0,0,N,N,25-Aug-97,30-Dec-82,"$256,000.00 ",$0.00 ,$0.00 ,"$256,000.00 ","$230,400.00 ",False,CHGOFF
783190,8303504007,ABC CARPET CLEANING,LUBBOCK,TX,79415,AIMBANK,TX,561740,16-Dec-04,2005,70,3,2.0,0,0,1,1,0,Y,,28-Feb-05,"$32,937.00 ",$0.00 ,$0.00 ,"$32,937.00 ","$27,996.00 ",False,P I F
293114,3029535005,ROYAL PLUMBING INC,ESCONDIDO,CA,92029,U.S. BANK NATIONAL ASSOCIATION,OH,238220,1-Apr-08,2008,60,4,1.0,1,5,0,1,Y,N,15-Jun-10,30-Apr-08,"$74,650.00 ",$0.00 ,"$42,037.00 ","$45,000.00 ","$22,500.00 ",False,CHGOFF
495454,4787903010,KOTZ MTL & ACFT PTS & K-TECH A,TUCSON,AZ,85706,GE CAP. SMALL BUS. FINAN CORP,TX,421930,6-Apr-92,1992,115,10,1.0,0,0,1,0,N,N,16-Apr-03,30-Apr-92,"$350,000.00 ",$0.00 ,"$9,199.00 ","$350,000.00 ","$280,000.00 ",False,CHGOFF
171829,2230146010,NET CONSTRUCTION INC,W,UT,84088,WELLS FARGO BANK NATL ASSOC,SD,541410,13-Jul-06,2006,36,3,1.0,0,3,1,1,Y,N,28-Jan-10,31-Jul-06,"$30,755.00 ",$0.00 ,"$24,999.00 ","$25,000.00 ","$12,500.00 ",False,CHGOFF
245486,2731174003,ALAN SCHULER,CUMERLAND,IA,50843,ROLLING HILLS BANK & TRUST,IA,0,22-Jan-99,1999,58,2,2.0,0,0,1,0,0,Y,,30-Apr-99,"$68,900.00 ",$0.00 ,$0.00 ,"$68,900.00 ","$55,120.00 ",False,P I F
351594,3448833003,WOLFE'S PROPANE SERVICE (PARTN,APPLETON,NY,14008,"BUSINESS LOAN CENTER, LLC",SC,454312,25-May-89,1989,93,4,1.0,0,0,0,0,N,N,29-Jan-96,31-Oct-89,"$60,000.00 ",$0.00 ,"$8,073.00 ","$60,000.00 ","$54,000.00 ",False,CHGOFF
469971,4537674006,NEW ENGLAND MOLD-STERLING INC,STERLING,MA,1564,UPS CAPITAL BUSINESS CREDIT,CT,333511,24-May-01,2001,24,31,1.0,6,31,1,1,0,N,,31-May-01,"$464,000.00 ",$0.00 ,$0.00 ,"$464,000.00 ","$255,478.00 ",True,P I F
155870,2133825004,"Timberlab, LLC",Kansas City,MO,64111,COMMERCE BANK,MO,442110,20-Nov-06,2007,24,6,1.0,0,6,0,1,Y,N,23-Jan-12,31-Dec-06,"$60,214.00 ",$0.00 ,"$17,535.00 ","$25,000.00 ","$12,500.00 ",False,CHGOFF
32786,1247265006,John Piekarski dba Modern Coat,San Diego,CA,92115,CALIFORNIA BANK & TRUST,CA,238320,28-Mar-05,2005,12,2,1.0,0,2,1,1,N,N,21-May-09,31-Mar-05,"$25,000.00 ",$0.00 ,"$9,449.00 ","$25,000.00 ","$12,500.00 ",False,CHGOFF
208076,2468236002,GLOBAL NAILS,LA PORTE,TX,77571,COMPASS BANK,AL,812113,12-Oct-06,2007,76,10,1.0,0,10,1,1,Y,N,22-Feb-08,31-Oct-06,"$25,000.00 ",$0.00 ,"$24,900.00 ","$25,000.00 ","$12,500.00 ",False,CHGOFF
239022,2687983005,"SBS GENERAL SERVICES, INC.",SEMINOLE,TX,79360,FROST BANK,TX,0,5-Aug-86,1986,84,16,1.0,8800,8800,0,0,N,N,25-Jan-90,14-Jan-87,"$167,000.00 ",$0.00 ,"$149,019.00 ","$167,000.00 ","$121,910.00 ",False,CHGOFF
821713,8819223000,TABERS MARKETING CORP. INC.,HOPKINSVILLE,KY,42240,BANK OF CADIZ & TR CO,KY,0,22-Nov-95,1996,70,3,1.0,0,0,1,0,`,Y,,31-Jan-96,"$87,650.00 ",$0.00 ,$0.00 ,"$87,650.00 ","$70,120.00 ",False,P I F
840035,9005773007,GLOBAL ANIMAL PRODUCTS INC,AMARILLO,TX,79118,"CITIBANK, N.A.",TX,0,14-Feb-96,1996,54,1,2.0,0,0,1,0,N,N,,31-Jul-96,"$112,153.00 ",$0.00 ,$0.00 ,"$118,000.00 ","$88,500.00 ",False,P I F
885153,9684423008,"BISMILLAH CLEANERS, INC.",HOUSTON,TX,77094,AMER BUS. LENDING INC.,TX,0,23-Oct-96,1997,176,5,2.0,0,0,1,0,0,N,21-Dec-11,31-Dec-96,"$881,000.00 ",$0.00 ,"$677,373.00 ","$891,100.00 ","$668,325.00 ",False,CHGOFF
373454,3616494004,ROYALTREE FOOD MART,BROWNSVILLE,TX,78521,"READYCAP LENDING, LLC",CA,0,3-Mar-00,2000,287,12,1.0,12,0,1,1,0,N,11-Oct-06,31-May-00,"$704,000.00 ",$0.00 ,"$623,673.00 ","$704,000.00 ","$528,000.00 ",False,CHGOFF
199485,2406535007,Earnie D. Anderson dba Organic,Bakersfield,CA,93307,"BUSINESS LOAN CENTER, LLC",FL,424910,20-Apr-07,2007,84,2,2.0,0,2,0,1,N,N,31-Oct-12,31-May-07,"$50,000.00 ",$0.00 ,"$48,654.00 ","$50,000.00 ","$42,500.00 ",False,CHGOFF
202760,2429476001,MSI HEALTHCARE CONSULTING INC,LITTLE ROCK,AR,72223,CENTENNIAL BANK,AR,812199,21-Sep-06,2006,22,3,1.0,1,3,1,2,Y,N,,30-Nov-06,"$78,310.00 ",$0.00 ,$0.00 ,"$50,000.00 ","$25,000.00 ",False,P I F
270643,2886586005,ELITE BUSINESS VENTURES LLC,SAN DIEGO,CA,92130,COMMERCEWEST BANK,CA,511120,6-Jul-07,2007,13,3,1.0,0,3,1,1,Y,N,,31-Aug-07,"$150,000.00 ",$0.00 ,$0.00 ,"$100,000.00 ","$50,000.00 ",False,P I F
538086,5266424003,CW FABRICATION,PHOENIX,AZ,85085,WELLS FARGO BANK NATL ASSOC,SD,332999,11-Mar-02,2002,39,1,1.0,0,1,1,1,0,N,,30-Jun-02,"$175,500.00 ",$0.00 ,$0.00 ,"$175,500.00 ","$131,625.00 ",False,P I F
849120,9104203006,"BRENDAN'S MARKET STREET PUB,LT",DENVER,CO,80202,FIRST-CITIZENS BK & TR CO,NC,722410,18-Mar-96,1996,24,15,1.0,0,0,1,0,0,N,14-Jul-06,30-Apr-96,"$135,000.00 ",$0.00 ,"$74,222.00 ","$135,000.00 ","$101,250.00 ",False,CHGOFF
761463,7978733003,SOLA'S EXTRA VALUE WINE & LIQU,RIVERDALE,IL,60627,"FIRSTMERIT BANK, N.A.",IL,445310,12-Jan-95,1995,209,6,1.0,0,0,1,0,N,N,17-Aug-97,30-Apr-95,"$240,000.00 ",$0.00 ,"$309,216.00 ","$240,000.00 ","$180,000.00 ",False,CHGOFF
333728,3325483005,SNYDER BROTHERS PARTNERSHIP,PAUL,ID,83347,WELLS FARGO BANK NATL ASSOC,CA,811111,31-Oct-88,1989,76,7,1.0,0,0,0,0,N,N,,31-Jan-89,"$280,000.00 ",$0.00 ,$0.00 ,"$280,000.00 ","$235,200.00 ",False,P I F
672572,6872464009,EGL CONSTRUCTION INC,EL PASO,TX,79905,FIRST NATIONAL BANK,TX,236220,3-Nov-03,2004,4,3,2.0,0,0,1,1,0,Y,,31-Dec-03,"$95,000.00 ",$0.00 ,$0.00 ,"$95,000.00 ","$80,750.00 ",False,P I F
287332,2989085004,YANKE  CO,BOULDER,CO,80303,WELLS FARGO BANK NATL ASSOC,NC,211111,6-Mar-08,2008,78,1,1.0,0,1,0,1,Y,N,3-Dec-08,31-Mar-08,"$50,000.00 ",$0.00 ,"$49,942.00 ","$50,000.00 ","$25,000.00 ",False,CHGOFF
866660,9345003006,INFINITY HEALTH CARE,LOS ANGELES,CA,90035,CITIZENS BUSINESS BANK,CA,0,14-Jun-96,1996,16,35,1.0,0,0,1,0,N,Y,,30-Sep-96,"$100,000.00 ",$0.00 ,$0.00 ,"$100,000.00 ","$80,000.00 ",False,P I F
179351,2277834010,ZULFIQAR ENTERPRISES INC,MESQUITE,TX,75149,JPMORGAN CHASE BANK NATL ASSOC,IL,0,24-Aug-98,1998,306,1,2.0,0,0,1,0,0,N,11-Jul-03,31-Jan-99,"$950,000.00 ",$0.00 ,"$416,590.00 ","$950,000.00 ","$712,500.00 ",False,CHGOFF
345886,3410465007,"Schoormann Construction, Inc.",Hartland,WI,53029,ASSOCIATED BANK NATL ASSOC,WI,238140,6-May-09,2009,60,1,1.0,0,1,0,2,Y,N,1-Jul-11,31-May-09,"$16,810.00 ",$0.00 ,"$9,914.00 ","$10,000.00 ","$5,000.00 ",False,CHGOFF
406628,3925964007,"ASYLUM, LLC, THE",MECHANICSVILLE,VA,23111,SUNTRUST BANK,GA,422330,1-Sep-00,2000,12,1,2.0,0,0,1,2,0,Y,5-Jul-06,28-Feb-01,"$55,000.00 ",$0.00 ,"$25,099.00 ","$55,000.00 ","$44,000.00 ",False,CHGOFF
340446,3375235001,"C & T Express, Inc",LOXLEY,AL,36551,UNITED BANK,AL,484110,10-Apr-09,2009,20,3,1.0,0,3,0,2,N,N,,30-Apr-09,"$6,500.00 ",$0.00 ,$0.00 ,"$6,500.00 ","$5,850.00 ",False,P I F
219724,2553075000,Terrestra,San Francisco,CA,94118,WELLS FARGO BANK NATL ASSOC,SD,453998,3-Jul-07,2007,99,5,2.0,0,5,0,1,N,N,,31-Jul-07,"$194,900.00 ",$0.00 ,$0.00 ,"$194,900.00 ","$146,175.00 ",False,P I F
256960,2803374004,ALL TUNE AND LUBE,ROCHESTER,MN,55901,ASSOCIATED BANK NATL ASSOC,MN,811111,24-Feb-99,1999,54,8,2.0,8,8,3490,0,0,N,4-Nov-09,31-Mar-99,"$85,000.00 ",$0.00 ,"$49,950.00 ","$85,000.00 ","$68,000.00 ",True,CHGOFF
861684,9274204005,TEAL INC,MARSHFIELD (CENSUS NAME FOR MA,MA,2050,SOUTH SHORE BANK,MA,561730,15-Nov-05,2006,60,15,2.0,0,15,1,1,Y,N,21-Apr-08,31-Jan-06,"$82,848.00 ",$0.00 ,"$26,065.00 ","$50,000.00 ","$25,000.00 ",False,CHGOFF
227463,2608055003,"LEWIS DISPOSAL SERVICES, LLC",ST. GEORGE,UT,84790,ZIONS FIRST NATIONAL BANK,UT,562212,31-Jul-07,2007,76,3,2.0,1,2,0,2,N,N,27-Sep-11,31-Aug-07,"$130,000.00 ",$0.00 ,"$75,689.00 ","$130,000.00 ","$110,500.00 ",False,CHGOFF
507830,4916174009,THE VINYL FRONTIER L L C,DOVER,NH,3820,BANK OF AMERICA NATL ASSOC,RI,235610,18-Sep-01,2001,0,5,1.0,0,5,1,1,Y,N,26-Oct-05,31-Oct-01,"$17,319.00 ",$0.00 ,"$5,702.00 ","$15,000.00 ","$7,500.00 ",False,CHGOFF
368347,3573603003,"Q.R.P., INC.",SHEBOYGAN,WI,53081,U.S. BANK NATIONAL ASSOCIATION,WI,421830,3-Nov-89,1990,88,7,1.0,0,0,1,0,N,N,2-Nov-93,31-Jan-90,"$223,000.00 ",$0.00 ,"$122,591.00 ","$223,000.00 ","$167,250.00 ",False,CHGOFF
726767,7562854007,GRAMMA JO'S,BINGHAMTON,NY,13904,TIOGA STATE BANK,NY,722110,28-Jun-04,2004,210,3,2.0,0,0,1,1,N,N,16-Oct-07,30-Nov-04,"$138,000.00 ",$0.00 ,"$133,489.00 ","$138,000.00 ","$103,500.00 ",False,CHGOFF
627060,6226834008,A THOUSAND POINTS OF KNOWLEDGE,CARROLLTON,TX,75007,WELLS FARGO BANK NATL ASSOC,SD,611691,4-Apr-03,2003,68,2,2.0,0,2,6035,1,0,N,,4-Oct-04,"$179,400.00 ",$0.00 ,$0.00 ,"$179,400.00 ","$134,550.00 ",False,P I F
309178,3132685002,"BRAIN ZOOM, LLC & PCMMD VENTUR",HAYMARKET,VA,20169,BRANCH BK. & TR CO,NC,624410,20-Jun-08,2008,73,3,2.0,6,3,0,2,N,N,29-Apr-10,31-Dec-08,"$200,000.00 ",$0.00 ,"$198,630.00 ","$200,000.00 ","$100,000.00 ",False,CHGOFF
575302,5674244007,"PANADERIA LASFLORES,INC.",WICHITA,KS,67218,INTRUST BANK NATL ASSOC,KS,311811,6-Sep-02,2002,114,2,2.0,0,0,1,1,0,Y,9-Aug-06,30-Sep-02,"$64,000.00 ",$0.00 ,"$23,776.00 ","$64,000.00 ","$54,400.00 ",False,CHGOFF
50536,1389615010,Wes Johnston,Desoto,MO,63020,"PNC BANK, NATIONAL ASSOCIATION",DE,238190,27-Jul-05,2005,60,14,1.0,2,14,0,2,T,N,7-Sep-10,30-Sep-05,"$29,313.00 ",$0.00 ,"$9,043.00 ","$15,000.00 ","$7,500.00 ",False,CHGOFF
457878,4430423005,"TRI-COR MILLING, INC.",EVERSON,PA,15631,BRANCH BK. & TR CO,WV,311111,16-Apr-91,1991,64,20,2.0,0,0,1,0,N,N,,31-Jul-91,"$392,500.00 ",$0.00 ,$0.00 ,"$392,500.00 ","$333,625.00 ",False,P I F
690798,7157714007,AMAZON CAFE,PHILADELPHIA,PA,19102,"PNC BANK, NATIONAL ASSOCIATION",DE,722211,3-Feb-04,2004,92,1,1.0,4,4,3518,1,0,N,,30-Apr-04,"$125,000.00 ",$0.00 ,$0.00 ,"$150,000.00 ","$127,500.00 ",False,P I F
650077,6519444002,MUNN PSYCHIATRIC CLINIC,HELENA,MT,59601,BBCN BANK,CA,621420,23-Jul-03,2003,72,2,1.0,2,2,1,2,0,N,31-Aug-04,31-Jul-03,"$15,000.00 ",$0.00 ,"$13,977.00 ","$15,000.00 ","$7,500.00 ",False,CHGOFF
817285,8760184002,DR MIGUEL VARGAS MD PC,MERRICK,NY,11566,FIRST NIAGARA BANK NATL ASSOC,NY,621111,1-Apr-05,2005,91,5,2.0,0,5,1,1,0,N,24-May-12,30-Apr-05,"$80,000.00 ",$0.00 ,"$12,530.00 ","$80,000.00 ","$40,000.00 ",False,CHGOFF
13983,1100424005,"THE RIPE TAMATA, INC.",PERU,IL,61354,CENTRUE BANK,IL,0,5-Apr-97,1997,36,6,1.0,0,0,1,0,N,Y,31-May-01,30-Apr-97,"$74,562.00 ",$0.00 ,"$41,378.00 ","$75,000.00 ","$60,000.00 ",False,CHGOFF
656571,6618234004,THIEM MECHANICAL COMPANY INC,TUCSON,AZ,85719,WELLS FARGO BANK NATL ASSOC,SD,238220,22-Aug-03,2003,219,1,1.0,3,4,1,1,0,N,23-May-14,30-Sep-03,"$76,500.00 ",$0.00 ,"$57,901.00 ","$76,500.00 ","$65,025.00 ",False,CHGOFF
69914,1526514005,NORTHCST SRFC SPCLST TILE&MORE,MAYFIELD HEIGHTS,OH,44124,THE HUNTINGTON NATIONAL BANK,OH,442210,4-Sep-97,1997,23,9,1.0,0,0,1,0,N,N,1-Jan-03,31-Oct-97,"$150,000.00 ",$0.00 ,"$72,869.00 ","$150,000.00 ","$112,500.00 ",False,CHGOFF
323501,3235226003,QUIZNOS,ONTARIO,CA,91761,PACIFIC ALLIANCE BANK,CA,722211,24-Apr-08,2008,57,6,2.0,0,6,68020,1,0,N,,31-May-08,"$105,000.00 ",$0.00 ,$0.00 ,"$105,000.00 ","$89,250.00 ",True,P I F
689575,7142684008,MARATHON IRON WORKS INC,MARATHON,NY,13803,MANUFACTURERS & TRADERS TR CO,NY,234990,30-Jan-04,2004,90,6,1.0,0,6,1,2,T,N,29-Sep-11,29-Feb-04,"$215,200.00 ",$0.00 ,"$90,400.00 ","$100,000.00 ","$50,000.00 ",False,CHGOFF
153667,2119495005,P.B. Loco Peanutbutterlicious,Appleton,WI,54913,WELLS FARGO BANK NATL ASSOC,SD,722213,10-Nov-06,2007,90,2,2.0,13,2,0,1,N,N,16-Jun-10,31-Dec-06,"$202,000.00 ",$0.00 ,"$182,868.00 ","$202,000.00 ","$151,500.00 ",False,CHGOFF
475413,4581223001,DIVERSIFIED DISTRIBUTION CONCE,NORCROSS,GA,30093,BANK OF AMERICA NATL ASSOC,NC,541810,16-Sep-91,1991,41,4,2.0,0,0,1,0,N,N,15-May-98,31-Oct-91,"$100,000.00 ",$0.00 ,"$18,078.00 ","$100,000.00 ","$90,000.00 ",False,CHGOFF
335873,3341683006,KEYSTONE AIR CONDITIONING,GARDEN GROVE,CA,92641,INTERNATL CITY BANK NATL ASSOC,CA,235110,23-Nov-88,1989,104,7,1.0,0,0,0,0,N,N,2-Oct-91,31-Jan-89,"$175,000.00 ",$0.00 ,"$157,867.00 ","$175,000.00 ","$148,750.00 ",False,CHGOFF
56915,1433624004,"S. STOCK SERVICES, INC.",ANGOLA,NY,14006,BANK OF AMERICA NATL ASSOC,NC,0,24-Jul-97,1997,23,6,1.0,0,0,1,0,N,N,24-Jan-06,25-Sep-97,"$280,000.00 ",$0.00 ,"$50,408.00 ","$280,000.00 ","$210,000.00 ",False,CHGOFF
248748,2751444009,GEOWORKS CORPORATION,PLEASANT VIEW,UT,84414,ZIONS FIRST NATIONAL BANK,UT,235930,1-Feb-99,1999,61,5,2.0,0,0,1,0,N,N,5-Jul-05,25-Feb-99,"$810,000.00 ",$0.00 ,"$421,154.00 ","$810,000.00 ","$607,500.00 ",False,CHGOFF
276607,2921626000,A PLUS HEATING AND AIR CONDITI,BEEVILLE,TX,78102,1ST NATL BK OF BEEVILLE,TX,238220,31-Jul-07,2007,3,3,1.0,0,3,1,2,0,N,,31-Aug-07,"$65,000.00 ",$0.00 ,$0.00 ,"$65,000.00 ","$32,500.00 ",False,P I F
398850,3844984000,MID OHIO PAPER & JANITORIAL SU,MARION,OH,43302,"PNC BANK, NATIONAL ASSOCIATION",IN,422130,19-Jul-00,2000,224,4,1.0,0,0,1,1,0,Y,,31-Aug-00,"$97,000.00 ",$0.00 ,$0.00 ,"$97,000.00 ","$77,600.00 ",False,P I F
427856,4140003010,DON CLARK BRAKE & WHEEL,POMONA,CA,91767,COMERICA BANK,CA,811118,18-Jun-90,1990,189,2,1.0,0,0,1,0,N,N,23-Mar-04,31-Oct-90,"$195,000.00 ",$0.00 ,"$43,757.00 ","$195,000.00 ","$165,750.00 ",False,CHGOFF
60569,1458054006,"SHADE TREE CELLAR, INC",BAINBRIDGE,GA,31717,BANK OF THE OZARKS,GA,445310,5-Aug-97,1997,153,2,1.0,0,0,1,0,N,N,14-Feb-01,31-Aug-98,"$179,087.00 ",$0.00 ,"$54,087.00 ","$179,087.00 ","$134,315.00 ",False,CHGOFF
53858,1412673002,ETHEREDGE TYLL COMPANY,DOWNERS GROVE,IL,60515,JPMORGAN CHASE BANK NATL ASSOC,IL,0,10-Aug-82,1982,120,3,1.0,0,0,0,0,N,N,4-May-90,2-Sep-82,"$125,000.00 ",$0.00 ,"$82,624.00 ","$125,000.00 ","$112,500.00 ",False,CHGOFF
135836,1991475008,"Electrical Lighting Solutions,",St. Charles,MO,63303,"PNC BANK, NATIONAL ASSOCIATION",OH,238210,28-Aug-06,2006,63,3,2.0,1,3,0,1,N,N,,31-Oct-06,"$85,000.00 ",$0.00 ,$0.00 ,"$85,000.00 ","$42,500.00 ",False,P I F
514091,4972323004,BOJACKS MEAT & POULTRY INC.,CLEVELAND,OH,44113,KEYBANK NATIONAL ASSOCIATION,OH,0,14-Aug-92,1992,43,18,1.0,0,0,1,0,N,N,,31-Jan-93,"$800,000.00 ",$0.00 ,$0.00 ,"$800,000.00 ","$600,000.00 ",False,P I F
407856,3939584001,SUNNY BROOK MARKET,CASTAIC,CA,91384,EAST WEST BANK,CA,0,11-Sep-00,2000,101,1,2.0,0,0,1,1,N,N,,8-Nov-01,"$84,000.00 ",$0.00 ,$0.00 ,"$84,000.00 ","$67,200.00 ",False,P I F
514941,4979153004,HOOVER'S FAMILY RESTAURANT,MCPHERSON,KS,67460,FIRST BANK OF NEWTON,KS,0,19-Aug-92,1992,116,5,2.0,0,0,1,0,N,N,2-Apr-97,31-Oct-92,"$70,000.00 ",$0.00 ,"$47,250.00 ","$70,000.00 ","$63,000.00 ",False,CHGOFF
800239,8566344009,BIG FRED'S ROAST BEEF AND MORE,SALEM,MA,1970,DANVERSBANK,MA,722211,2-Feb-05,2005,35,3,2.0,0,3,1,1,0,N,8-Jun-06,28-Feb-05,"$10,500.00 ",$0.00 ,"$8,984.00 ","$10,500.00 ","$5,250.00 ",False,CHGOFF
245116,2728445007,Julianne Richardson,FORT WAYNE,IN,46818,"PNC BANK, NATIONAL ASSOCIATION",DE,541213,27-Sep-07,2007,64,1,2.0,7,1,48000,1,N,,,30-Nov-07,"$85,000.00 ",$0.00 ,$0.00 ,"$85,000.00 ","$72,250.00 ",False,P I F
273818,2905243005,"PINE RIDGE FARMS, INC.",SUBIACO,AR,72865,1ST NATL BK AT PARIS,AR,112340,11-May-87,1987,96,51,1.0,0,0,0,0,N,N,15-Sep-89,3-Jun-87,"$550,000.00 ",$0.00 ,"$557,942.00 ","$550,000.00 ","$220,000.00 ",False,CHGOFF
217905,2540405004,PLATO'S CLOSET,ST. CLOUD,MN,56301,STEARNS BK NATL ASSOC,MN,448140,27-Jun-07,2007,16,10,1.0,0,10,0,2,Y,N,,30-Jun-07,"$28,563.00 ",$0.00 ,$0.00 ,"$10,000.00 ","$5,000.00 ",True,P I F
424582,4105134004,ODYSSEY ELECTRONICS,RATON,NM,87740,1ST NATL BK OF NEW MEXICO,NM,514210,4-Dec-00,2001,160,4,1.0,0,0,1,1,0,Y,15-Oct-07,31-Jan-01,"$150,000.00 ",$0.00 ,"$20,357.00 ","$150,000.00 ","$112,500.00 ",False,CHGOFF
754609,7893594006,POTESTA'S PIZZA & PASTA,ROUND LAKE,IL,60073,COMERICA BANK,TX,722110,5-Oct-04,2005,245,25,1.0,15,25,1,1,0,N,1-Sep-09,30-Nov-04,"$1,005,000.00 ",$0.00 ,"$516,953.00 ","$1,005,000.00 ","$753,750.00 ",False,CHGOFF
340462,3375395003,Nationwide Investigations & Se,HOUSTON,TX,77027,TRUSTMARK NATIONAL BANK,MS,561612,10-Apr-09,2009,7,65,1.0,25,65,0,1,N,N,9-Dec-11,31-May-09,"$11,089.00 ",$0.00 ,"$11,045.00 ","$25,700.00 ","$23,130.00 ",False,CHGOFF
429772,4157223002,WEST COAST JANITORIAL SUPPLY,PLACERVILLE,CA,95667,UMPQUA BANK,CA,0,28-Jun-90,1990,65,6,1.0,0,0,1,0,N,N,,31-Jul-90,"$102,000.00 ",$0.00 ,$0.00 ,"$102,000.00 ","$91,800.00 ",False,P I F
197724,2394725007,Bianca's Ristorante Italiano,North Fort Myers,FL,33903,COMMUNITY SOUTH BANK,TN,722110,16-Apr-07,2007,55,10,1.0,0,10,0,1,N,N,,30-Apr-07,"$277,000.00 ",$0.00 ,$0.00 ,"$277,000.00 ","$207,750.00 ",False,P I F
713817,7427864007,DR JEFFREY M GOLLER,CHARLESTON,SC,29407,REGIONS BANK,AL,621111,11-May-04,2004,51,2,2.0,2,1,1,1,Y,N,24-Jul-07,30-Jun-04,"$309,755.00 ",$0.00 ,"$225,000.00 ","$225,000.00 ","$112,500.00 ",False,CHGOFF
265818,2857516007,KINECTIONS LLC,LAWRENCE,KS,66044,INTRUST BANK NATL ASSOC,KS,812990,19-Jun-07,2007,85,2,1.0,2,2,1,1,0,N,15-Aug-11,30-Jun-07,"$54,500.00 ",$0.00 ,"$42,379.00 ","$54,500.00 ","$46,325.00 ",False,CHGOFF
832606,8937774009,"SOMETHIN TO BARK ABOUT, INC.",ALSIP,IL,60803,FIRST MIDWEST BANK,IL,812910,20-Jun-05,2005,59,3,1.0,0,0,1,1,0,Y,12-Oct-10,31-Jul-05,"$30,000.00 ",$0.00 ,"$8,603.00 ","$30,000.00 ","$25,500.00 ",False,CHGOFF
24066,1180645007,"PERFECT EDGE LANDSCAPING, INC.",CANTON,OH,44708,CITIZENS BANK NATL ASSOC,RI,561730,3-Feb-05,2005,153,10,1.0,0,10,1,1,N,N,11-Jun-10,30-Apr-05,"$99,998.00 ",$0.00 ,"$90,868.00 ","$100,000.00 ","$50,000.00 ",False,CHGOFF
559683,5503874003,PREMIER LANDSCAPES,LAYTON,UT,84041,AMERICA WEST BANK,UT,561730,2-Jul-02,2002,44,20,1.0,0,20,1,1,Y,N,,30-Nov-02,"$83,699.00 ",$0.00 ,$0.00 ,"$50,000.00 ","$25,000.00 ",False,P I F
84719,1631254001,ALLENTON INN,ALLENTON,WI,53002,WELLS FARGO BANK NATL ASSOC,SD,0,21-Oct-97,1998,176,24,1.0,0,0,1,0,0,N,15-Aug-08,30-Nov-97,"$228,000.00 ",$0.00 ,"$23,375.00 ","$228,000.00 ","$171,000.00 ",False,CHGOFF
530735,5169074003,INTERNAL IMAGING INC,OLYMPIA,WA,98512,U.S. BANK NATIONAL ASSOCIATION,OH,811490,22-Jan-02,2002,71,2,1.0,2,4,1,1,Y,N,27-Apr-06,28-Feb-02,"$50,000.00 ",$0.00 ,"$49,113.00 ","$50,000.00 ","$25,000.00 ",False,CHGOFF
537964,5264554003,"BECKER ARENA PRODUCTS, INC.",BURNSVILLE,MN,55337,FIDELITY BANK,MN,532210,11-Mar-02,2002,20,31,1.0,0,0,1,1,N,N,,31-Mar-02,"$600,000.00 ",$0.00 ,$0.00 ,"$600,000.00 ","$450,000.00 ",False,P I F
532926,5198834005,EVERLASTING LANDSCAPE,DEWITT,IA,52742,THE CLINTON NATIONAL BANK,IA,561730,6-Feb-02,2002,73,4,2.0,0,0,1,1,0,Y,20-Apr-06,31-Mar-02,"$60,000.00 ",$0.00 ,"$42,680.00 ","$60,000.00 ","$51,000.00 ",False,CHGOFF
527933,5130304003,"GALESBURG WELDING, INC.",GALESBURG,IL,61401,THE FARMERS AND MECHANICS BANK,IL,333992,28-Dec-01,2002,67,4,1.0,0,0,1,2,0,Y,,30-Apr-02,"$150,000.00 ",$0.00 ,$0.00 ,"$150,000.00 ","$127,500.00 ",False,P I F
557929,5485434006,ALFREDO'S TILE INC,PHARR,TX,78577,MERRILL LYNCH BANK USA,UT,421220,24-Jun-02,2002,197,25,1.0,0,25,1,1,0,N,18-Jul-13,31-Aug-02,"$905,000.00 ",$0.00 ,"$107,406.00 ","$905,000.00 ","$678,750.00 ",False,CHGOFF
